Variable,Level,RMSE,MAE,BIAS,ACC,RelDiff (%),Pred_Min,Pred_Max,Ref_Min,Ref_Max
t,2.0,6.394258975982666,4.453032970428467,-2.2291436195373535,0.913742184638977,2.224480152130127,220.0386199951172,317.1733703613281,211.873291015625,316.15435791015625
t,10.0,6.34203577041626,4.414661407470703,-2.2028162479400635,0.914799153804779,2.206725835800171,220.24411010742188,317.0945739746094,212.5042724609375,316.1026611328125
t,20.0,6.276980400085449,4.366830825805664,-2.169868230819702,0.9161105155944824,2.1846017837524414,220.50111389160156,316.99615478515625,213.29302978515625,316.0379638671875
t,50.0,6.083326816558838,4.224067687988281,-2.0709190368652344,0.9199792146682739,2.118695020675659,221.27223205566406,316.7010498046875,215.6593017578125,315.84393310546875
t,75.0,5.923634052276611,4.105875492095947,-1.9885637760162354,0.9231297373771667,2.06428861618042,221.9145965576172,316.4549560546875,217.6312255859375,315.6821594238281
t,100.0,5.765597343444824,3.9884114265441895,-1.9063713550567627,0.9262087345123291,2.010394334793091,222.55726623535156,316.20916748046875,219.60308837890625,315.52044677734375
t,150.0,5.4552178382873535,3.7563509941101074,-1.7426284551620483,0.9321399331092834,1.9043992757797241,223.84246826171875,315.71734619140625,223.546875,315.197021484375
t,200.0,5.154022693634033,3.5299298763275146,-1.580167531967163,0.9377366900444031,1.8013579845428467,225.12806701660156,315.2254943847656,227.49066162109375,314.87359619140625
t,300.0,4.5821452140808105,3.0978519916534424,-1.2641286849975586,0.9479023218154907,1.6051892042160034,227.69969177246094,314.2421569824219,232.2186279296875,314.2249755859375
t,400.0,4.041736125946045,2.6925623416900635,-0.993066132068634,0.9573302268981934,1.4189361333847046,230.2708282470703,313.2591857910156,232.87803649902344,313.5711669921875
t,500.0,3.5236141681671143,2.316861152648926,-0.7507690191268921,0.9659669399261475,1.239591121673584,232.83828735351562,312.27618408203125,236.26983642578125,312.9173278808594
t,750.0,2.4160068035125732,1.5727444887161255,-0.28081849217414856,0.9823304414749146,0.8539345860481262,237.60342407226562,309.81561279296875,236.98715209960938,310.2851257324219
t,1000.0,1.585353970527649,1.037377119064331,-0.025600245222449303,0.9919712543487549,0.56255704164505,241.28506469726562,307.3582458496094,238.67495727539062,307.6158142089844
t,1250.0,1.1876420974731445,0.7592544555664062,0.03744096681475639,0.9953974485397339,0.4228135645389557,242.7257080078125,304.8590087890625,240.86965942382812,305.11419677734375
t,1500.0,1.1499428749084473,0.7442601919174194,0.08284776657819748,0.9956708550453186,0.4106944501399994,242.5577392578125,302.2751770019531,240.46624755859375,302.6125183105469
t,2000.0,0.9824978709220886,0.6243008375167847,0.08114958554506302,0.9968409538269043,0.3532397449016571,241.17630004882812,297.1676330566406,239.05581665039062,297.7886047363281
t,2500.0,0.8556646704673767,0.5409995913505554,0.11751103401184082,0.9976158142089844,0.3101446330547333,239.17599487304688,292.2833251953125,237.1227569580078,294.5400695800781
t,3000.0,0.7955396175384521,0.5032122731208801,0.12921448051929474,0.9979429841041565,0.29100415110588074,237.01736450195312,288.10009765625,235.11380004882812,291.28692626953125
t,3500.0,0.7601621747016907,0.4922308921813965,0.14165228605270386,0.9981398582458496,0.2808350622653961,234.93556213378906,285.3451232910156,232.9976043701172,288.00616455078125
t,4000.0,0.7536765933036804,0.48812782764434814,0.14778079092502594,0.9982107281684875,0.2813776135444641,232.8935546875,281.7442932128906,231.23422241210938,283.99853515625
t,4500.0,0.7635023593902588,0.49471351504325867,0.1565977782011032,0.9981993436813354,0.2881793677806854,230.96435546875,278.83782958984375,229.6407470703125,279.55810546875
t,5000.0,0.7764055132865906,0.49911659955978394,0.12877212464809418,0.9981597065925598,0.29636386036872864,229.29335021972656,276.1145935058594,228.10226440429688,276.13140869140625
t,6000.0,0.7723639607429504,0.49538445472717285,0.12305998802185059,0.9982649683952332,0.3019687831401825,221.2467803955078,269.7149658203125,221.01206970214844,270.2128601074219
t,7000.0,0.7405799031257629,0.47496986389160156,0.11031439900398254,0.9984471797943115,0.29706713557243347,214.6479949951172,264.3028564453125,214.11041259765625,265.10302734375
t,8000.0,0.7577319145202637,0.478017121553421,0.04590374231338501,0.99832683801651,0.3122267425060272,208.65414428710938,258.60113525390625,208.22769165039062,258.53253173828125
t,9000.0,0.7843518853187561,0.4933825135231018,0.059664130210876465,0.9978359341621399,0.33197617530822754,207.1017303466797,251.886962890625,207.31463623046875,251.64517211914062
t,10000.0,0.8959183096885681,0.5538771152496338,0.14181599020957947,0.9960554242134094,0.3890089690685272,202.67758178710938,244.31265258789062,202.61123657226562,244.05189514160156
t,11500.0,0.8478646278381348,0.5591922998428345,-0.008405194617807865,0.9922181367874146,0.3804911673069,198.76889038085938,234.8404083251953,197.98806762695312,236.9322509765625
t,13000.0,0.8804311156272888,0.6160250902175903,-0.09253014624118805,0.9884607791900635,0.4061603844165802,198.63629150390625,235.47698974609375,198.3748321533203,236.74362182617188
t,15000.0,1.3993934392929077,1.0359195470809937,0.22125698626041412,0.9892562627792358,0.6669073700904846,197.93841552734375,238.62814331054688,195.05657958984375,236.81613159179688
t,17500.0,7.302191257476807,6.66126823425293,6.55288553237915,0.9730477929115295,3.5500071048736572,199.3346710205078,240.3878173828125,190.45449829101562,237.302734375
t,20000.0,7.238238334655762,6.109766960144043,6.006187438964844,0.9094488024711609,3.4532554149627686,197.91334533691406,242.52113342285156,185.343994140625,237.712646484375
u,2.0,6.28090763092041,4.9595417976379395,0.4744279980659485,0.7103183269500732,1871.159423828125,-45.55123519897461,39.047447204589844,-27.574100494384766,25.640228271484375
u,10.0,6.250953197479248,4.938173294067383,0.48003891110420227,0.7128164768218994,1919.3172607421875,-45.49848556518555,38.929054260253906,-27.705591201782227,25.767671585083008
u,20.0,6.214013576507568,4.9117431640625,0.4869177043437958,0.7158752083778381,1984.3946533203125,-45.43234634399414,38.7811164855957,-27.869953155517578,25.926979064941406
u,50.0,6.107180118560791,4.834741115570068,0.5068765878677368,0.7245886325836182,2217.32568359375,-45.232643127441406,38.33761215209961,-28.90805435180664,26.461889266967773
u,75.0,6.022510528564453,4.772933006286621,0.5225899815559387,0.7313451170921326,2468.048828125,-45.063743591308594,37.968379974365234,-29.925750732421875,26.968839645385742
u,100.0,5.941768646240234,4.713343620300293,0.5402927398681641,0.7377787232398987,2791.605224609375,-44.891727447509766,37.59941864013672,-30.94344711303711,27.475788116455078
u,150.0,5.7888007164001465,4.597799301147461,0.5822858810424805,0.7496728897094727,3811.24560546875,-44.533668518066406,36.8623046875,-32.97883605957031,28.673107147216797
u,200.0,5.660800457000732,4.501606464385986,0.6237695217132568,0.7596624493598938,5959.876953125,-44.153175354003906,36.12601089477539,-35.01422882080078,30.109882354736328
u,300.0,5.446220397949219,4.34783411026001,0.7195790410041809,0.7765935063362122,341370.96875,-43.39894104003906,34.655372619628906,-37.44448471069336,31.145248413085938
u,400.0,5.237594127655029,4.207051753997803,0.8262897729873657,0.7934882640838623,6932.857421875,-42.65216827392578,33.18584442138672,-38.89836883544922,31.915569305419922
u,500.0,5.0450825691223145,4.081165790557861,0.9355416297912598,0.8095093965530396,3588.957275390625,-41.89317321777344,31.71622657775879,-40.228614807128906,32.624481201171875
u,750.0,4.696001052856445,3.845078468322754,1.2273492813110352,0.8404976725578308,1682.119140625,-39.98168182373047,29.474407196044922,-42.47804260253906,34.38935852050781
u,1000.0,4.539916038513184,3.70365047454834,1.482724666595459,0.8577845692634583,1014.5511474609375,-38.13841247558594,29.666540145874023,-43.113834381103516,36.55485153198242
u,1250.0,4.513969421386719,3.65592360496521,1.5843147039413452,0.8632692098617554,585.4467163085938,-37.05112075805664,29.512067794799805,-41.98914337158203,37.1887321472168
u,1500.0,4.520808219909668,3.6107544898986816,1.52773916721344,0.8671219348907471,399.82794189453125,-35.565528869628906,31.436504364013672,-43.006919860839844,36.351959228515625
u,2000.0,4.5686492919921875,3.6116013526916504,1.4796818494796753,0.8740702867507935,230.0689239501953,-35.316490173339844,34.15421676635742,-35.81597900390625,33.79983139038086
u,2500.0,4.724518299102783,3.691345691680908,1.5387684106826782,0.878073513507843,169.24476623535156,-35.453067779541016,36.51103973388672,-35.76495361328125,35.8885498046875
u,3000.0,4.989279747009277,3.8964900970458984,1.5717899799346924,0.875908613204956,141.1261749267578,-36.66420364379883,37.73565673828125,-35.265933990478516,38.89809036254883
u,3500.0,5.279304504394531,4.112144947052002,1.7344106435775757,0.876617431640625,125.01644897460938,-37.55677032470703,38.95458984375,-36.770225524902344,43.443946838378906
u,4000.0,5.569103240966797,4.301675796508789,1.8183232545852661,0.8775729537010193,114.03060150146484,-37.329978942871094,46.876487731933594,-36.09300231933594,48.750186920166016
u,4500.0,5.926643371582031,4.543962478637695,1.903763771057129,0.8762142062187195,106.91841888427734,-37.65503692626953,55.36684036254883,-36.0881233215332,53.95524978637695
u,5000.0,6.299806118011475,4.80707311630249,2.008615016937256,0.8761298060417175,101.2488021850586,-38.768978118896484,59.408424377441406,-36.28617858886719,58.711341857910156
u,6000.0,7.189690589904785,5.48976993560791,2.2107458114624023,0.8744361400604248,92.4643783569336,-39.14575958251953,63.39866638183594,-42.20602035522461,68.02395629882812
u,7000.0,8.352673530578613,6.429252624511719,2.667404890060425,0.8697822093963623,87.79581451416016,-42.58560562133789,73.6992416381836,-46.57502365112305,73.85015869140625
u,8000.0,9.444969177246094,7.381051540374756,2.9985463619232178,0.8639957904815674,83.82455444335938,-46.71711730957031,74.78992462158203,-50.24884796142578,80.26289367675781
